"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Portfolio Rebalancing Calculator","Rebalancing Engine","Share Count Calculation","0","0","13","0","0"
"Portfolio Rebalancing Calculator","Rebalancing Engine","HOLD Action","0","0","5","0","0"
"Portfolio Rebalancing Calculator","Rebalancing Engine","SELL Action","0","0","3","0","0"
"Portfolio Rebalancing Calculator","Rebalancing Engine","Page Load","0","0","2","0","0"
"Portfolio Rebalancing Calculator","Rebalancing Engine","BUY Action","0","0","3","0","0"
"Portfolio Rebalancing Calculator","Rebalancing Engine","Input Validation","0","0","3","0","0"
"Portfolio Rebalancing Calculator","Rebalancing Engine","Dollar Amount Calculation","0","0","4","0","0"
"Portfolio Rebalancing Calculator","Rebalancing Engine","Calculate Button","0","0","2","0","0"
"Portfolio Rebalancing Calculator","Rebalancing Engine","Portfolio Scaling","0","0","2","0","0"
"Portfolio Rebalancing Calculator","Rebalancing Engine","Results Table","0","0","1","0","0"
"Portfolio Rebalancing Calculator","Rebalancing Engine","Reset Button","0","0","1","0","0"
"Portfolio Rebalancing Calculator","Rebalancing Engine","Add Security","0","0","1","0","0"
"Portfolio Rebalancing Calculator","Rebalancing Engine","Variance Display","0","0","2","0","0"
