"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 04 22:27:38 UTC 2026","Thu Jun 04 22:27:39 UTC 2026","102","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc06_ibmSharesToBuy","TC-06: IBM shares to buy = 66",""
"passed","Thu Jun 04 22:27:49 UTC 2026","Thu Jun 04 22:27:49 UTC 2026","195","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc26_correctSharesPerSecurity","TC-26: Correct shares for each security in standard scenario",""
"passed","Thu Jun 04 22:27:51 UTC 2026","Thu Jun 04 22:27:51 UTC 2026","2","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc29_calculatorActionSell","TC-29: Calculator identifies SELL for positive variance",""
"passed","Thu Jun 04 22:27:39 UTC 2026","Thu Jun 04 22:27:40 UTC 2026","70","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc12_resultRowCount","TC-12: Results table has 5 rows for 5 securities",""
"passed","Thu Jun 04 22:27:40 UTC 2026","Thu Jun 04 22:27:40 UTC 2026","81","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc14_orclDollarAmount","TC-14: ORCL dollar amount to trade = $10,000",""
"passed","Thu Jun 04 22:27:44 UTC 2026","Thu Jun 04 22:27:45 UTC 2026","1469","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc23_allSecuritiesNeedBuy","TC-23: All securities under target → all BUY",""
"passed","Thu Jun 04 22:27:49 UTC 2026","Thu Jun 04 22:27:49 UTC 2026","106","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc26_correctSharesPerSecurity","TC-26: Correct shares for each security in standard scenario",""
"passed","Thu Jun 04 22:27:39 UTC 2026","Thu Jun 04 22:27:39 UTC 2026","121","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc11_hdHold","TC-11: HD action is HOLD with 0 shares",""
"passed","Thu Jun 04 22:27:49 UTC 2026","Thu Jun 04 22:27:49 UTC 2026","119","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc26_correctSharesPerSecurity","TC-26: Correct shares for each security in standard scenario",""
"passed","Thu Jun 04 22:27:40 UTC 2026","Thu Jun 04 22:27:41 UTC 2026","487","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc18_zeroPriceShowsError","TC-18: Unit price = 0 shows error, no results",""
"passed","Thu Jun 04 22:27:48 UTC 2026","Thu Jun 04 22:27:49 UTC 2026","104","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc26_correctSharesPerSecurity","TC-26: Correct shares for each security in standard scenario",""
"passed","Thu Jun 04 22:27:48 UTC 2026","Thu Jun 04 22:27:48 UTC 2026","152","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc25_ibmSharesForDifferentPortfolioSizes","TC-25: IBM share count is correct across different portfolio sizes",""
"passed","Thu Jun 04 22:27:51 UTC 2026","Thu Jun 04 22:27:51 UTC 2026","1","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc32_dollarAmountFormula","TC-32: Dollar amount is proportional to variance and total assets",""
"passed","Thu Jun 04 22:27:40 UTC 2026","Thu Jun 04 22:27:40 UTC 2026","76","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc15_msftDollarAmountZero","TC-15: MSFT dollar amount = $0 for zero variance",""
"passed","Thu Jun 04 22:27:42 UTC 2026","Thu Jun 04 22:27:42 UTC 2026","327","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc21_lowUnitPriceLargeShares","TC-21: Low unit price ($1) yields large share count",""
"passed","Thu Jun 04 22:27:40 UTC 2026","Thu Jun 04 22:27:40 UTC 2026","96","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc17_orclVarianceDisplay","TC-17: ORCL variance displayed as -10",""
"passed","Thu Jun 04 22:27:51 UTC 2026","Thu Jun 04 22:27:51 UTC 2026","0","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc30_calculatorActionHold","TC-30: Calculator identifies HOLD for zero variance",""
"passed","Thu Jun 04 22:27:42 UTC 2026","Thu Jun 04 22:27:44 UTC 2026","1835","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc22_allZeroVarianceAllHold","TC-22: All zero variance → all HOLD 0 shares",""
"passed","Thu Jun 04 22:27:40 UTC 2026","Thu Jun 04 22:27:40 UTC 2026","88","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc16_ibmVarianceDisplay","TC-16: IBM variance displayed as +10",""
"passed","Thu Jun 04 22:27:38 UTC 2026","Thu Jun 04 22:27:38 UTC 2026","61","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc02b_calculateButtonVisibleAndEnabled","TC-02b: Calculate button is present and clickable",""
"passed","Thu Jun 04 22:27:39 UTC 2026","Thu Jun 04 22:27:39 UTC 2026","145","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc07_msftActionIsHold","TC-07: MSFT action is HOLD with 0 shares",""
"passed","Thu Jun 04 22:27:41 UTC 2026","Thu Jun 04 22:27:41 UTC 2026","148","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc19b_negativeTotalAssetsShowsError","TC-19b: Negative total assets shows error",""
"passed","Thu Jun 04 22:27:48 UTC 2026","Thu Jun 04 22:27:48 UTC 2026","174","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc25_ibmSharesForDifferentPortfolioSizes","TC-25: IBM share count is correct across different portfolio sizes",""
